id,title,year,seasons,episodes
1,Breaking Bad,2008–2013,5,62
2,Planeta Terra II,2016,1,6
3,Planeta Terra,2006,1,11
4,Irmãos de Guerra,2001,1,10
5,Chernobyl,2019,1,5
6,A Escuta,2002–2008,5,60
7,Avatar: A Lenda de Aang,2005–2008,3,62
8,Planeta Azul II,2017,1,7
9,Família Soprano,1999–2007,6,86
10,Cosmos: Uma Odisseia do Espaço-Tempo,2014,1,13
11,Cosmos,1980,1,13
12,Nosso Planeta,2019–2023,2,12
13,Game of Thrones,2011–2019,8,74
14,Bluey,2018–,4,195
15,O Mundo em Guerra,1973–1974,1,26
16,Fullmetal Alchemist: Brotherhood,2009–2010,1,68
17,Vida,2009,1,11
18,Rick e Morty,2013–,12,85
19,Arremesso Final,2020,1,10
20,Além da Imaginação,1959–1964,5,156
21,Ataque dos Titãs,2013–2023,4,98
22,A Guerra do Vietnã,2017,1,10
23,Sherlock,2010–2017,4,15
24,Batman: A Série Animada,1992–1995,4,85
25,Arcane,2021–2024,2,18
26,Grey's Anatomy,2005,21,435
27,Supernatural,2005,15,327
